CALIFORNIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
ZIP Code, and Size of Adjusted Gross Income, 
90008,"$100,000 under $200,000",989,519,739,2161,616,130920,840,91227,683,929,287,696,247,384,241,1572,0,189,1020,135,3094,397,24005,103,1036,250,3972,20,599,934,34965,888,6792,28,77,829,3782,934,11292,777,14852,868,5073,988,87432,280,357,85,120,96,109,90,51,**,**,0,0,0,0,119,282,985,16027,985,16568,359,1961,629,3210
90008,"$200,000 or more",234,159,181,552,156,71280,203,43358,202,772,116,1670,100,1582,67,2597,0,96,2170,34,1759,87,7584,**,**,61,1257,**,**,232,15751,222,5051,**,**,213,1348,232,6847,204,5466,215,2164,234,53514,59,215,**,**,0,0,**,**,0,0,0,0,0,0,180,1186,234,13806,234,14281,120,1919,111,1276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90010,,"2,174",623,"1,676","3,762",960,"257,342","1,481","125,526",942,"7,936",470,"7,837",409,"6,185",631,"21,093",0,522,"20,558",81,"3,946",174,"4,706",120,"1,210",146,"2,108",61,"1,918",962,"58,645",698,"17,134",220,416,613,"6,939",959,"24,879",564,"14,421",669,"7,220","1,608","182,897",516,"1,977",0,0,178,186,56,37,164,206,335,521,222,314,204,"2,453","1,465","46,064","1,730","49,573",658,"8,747","1,371","10,455"
90010,"$1 under $25,000",838,136,612,1203,241,9570,447,5763,216,409,85,221,73,138,287,2684,0,100,-82,27,769,42,417,58,663,**,**,**,**,125,2992,41,136,66,42,61,426,123,636,61,1227,54,178,329,2127,79,30,0,0,**,**,**,**,99,118,290,431,199,280,0,0,273,204,485,678,208,237,520,1009
90010,"$25,000 under $50,000",422,117,315,736,190,15413,323,11075,147,253,44,303,39,231,126,2496,0,67,280,**,**,31,433,40,379,43,220,0,0,126,3220,68,191,49,76,68,521,126,764,60,1039,68,303,393,8024,125,116,0,0,81,60,27,16,44,64,45,90,23,34,**,**,334,914,366,1318,131,336,277,850
90010,"$50,000 under $75,000",243,73,184,439,118,15097,193,11274,118,272,52,337,44,249,66,1724,0,58,441,23,609,21,676,**,**,40,634,**,**,138,3908,103,399,28,29,87,608,137,1092,80,1672,101,497,226,9191,71,89,0,0,39,54,**,**,21,24,0,0,0,0,**,**,214,1327,226,1626,84,406,154,603
90010,"$75,000 under $100,000",221,52,151,387,112,19515,181,15274,101,449,50,241,40,173,41,1646,0,54,169,**,**,25,733,22,168,**,**,27,619,152,4420,129,810,22,48,77,491,152,1392,75,1569,92,507,220,13334,57,114,0,0,35,47,29,21,**,**,0,0,0,0,**,**,211,2264,210,2517,53,354,160,1070
90010,"$100,000 under $200,000",222,111,193,462,128,30304,163,18629,154,821,85,824,75,643,60,2535,0,93,389,31,2568,31,1334,**,**,27,506,**,**,201,8812,166,1661,29,54,133,1310,201,3127,122,3261,162,1075,216,19742,76,167,0,0,23,25,**,**,**,**,0,0,0,0,42,101,211,3668,219,4184,81,836,139,1216
90010,"$200,000 or more",228,134,221,535,171,167443,174,63511,206,5732,154,5911,138,4751,51,10008,0,150,19361,**,**,24,1113,**,**,36,748,34,1299,220,35293,191,13937,26,167,187,3583,220,17868,166,5653,192,4660,224,130479,108,1461,0,0,0,0,**,**,0,0,0,0,0,0,162,2352,222,37687,224,39250,101,6578,121,5707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90011,,"36,032","8,471","29,862","101,659","46,652","808,914","31,180","704,646","3,755","1,576",284,191,205,116,"6,199","59,414",0,241,587,158,"1,283","1,080","11,734","3,367","23,719",348,"2,098",0,0,"3,992","72,088","2,112","4,988","1,378","1,472","2,705","7,736","3,774","16,371","2,830","32,911","2,622","5,307","17,928","236,855","11,432","9,490",121,108,"8,384","6,479",975,620,"19,509","28,614","13,857","39,061","12,735","32,808",50,159,"10,085","21,252","15,247","29,837","2,813","3,476","32,521","99,441"
90011,"$1 under $25,000",24777,4124,20644,64915,29280,350692,20349,285951,1606,413,117,98,83,48,5245,47849,0,76,69,55,283,506,3582,2177,14433,64,69,0,0,993,14470,246,269,566,352,682,1727,943,2668,755,8220,441,658,7694,37708,4268,1532,**,**,2731,853,210,77,14636,19962,10694,32922,9958,27493,**,**,3983,2455,8675,9286,1844,978,22252,63365
90011,"$25,000 under $50,000",9135,3216,7495,29800,14139,310164,8782,288206,1363,337,78,51,54,37,768,9194,0,85,39,58,387,365,3584,962,7620,174,733,0,0,1907,32248,977,1370,651,756,1215,3398,1742,6598,1276,14449,1307,2138,8123,111282,5775,5327,56,41,4523,3743,530,365,4610,8284,3163,6139,2777,5315,0,0,4257,7846,4697,9155,661,958,8458,29257
90011,"$50,000 under $75,000",1625,817,1321,5274,2455,96509,1575,89576,557,148,43,11,34,7,138,1806,0,40,-7,45,613,141,2479,185,1384,73,746,0,0,741,15177,576,1451,137,272,547,1605,739,3795,545,6669,578,1327,1617,53952,1089,1960,44,41,895,1455,174,133,263,368,0,0,0,0,22,26,1362,5488,1392,5792,209,446,1415,4932
90011,"$75,000 under $100,000",363,221,292,1174,526,30692,349,27451,156,32,26,10,34,24,48,565,0,40,486,**,**,45,1258,43,282,37,550,0,0,242,5946,211,797,24,92,180,578,241,1682,178,2238,202,572,363,19319,227,460,21,26,178,318,39,28,**,**,0,0,0,0,**,**,352,2492,353,2559,59,209,304,1199
90011,"$100,000 under $200,000",132,93,110,496,252,20857,125,13462,73,646,20,21,**,**,**,**,0,**,**,**,**,23,831,**,**,**,**,0,0,109,4247,102,1101,**,**,81,428,109,1628,76,1335,94,612,131,14594,73,211,**,**,57,110,22,17,**,**,0,0,0,0,28,133,131,2971,130,3045,40,885,92,688
90011,"$200,000 or more",**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,**,**,**,**,**,**,**,**,**,**,0,0,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,**,0,0,0,0,0,0,**,**,**,**,**,**,**,**,**,**
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90012,,"9,348","2,367","5,927","15,974","4,071","381,940","7,692","304,592","2,928","4,065","1,137","3,959","1,005","2,727","1,645","16,923",0,"1,017","4,632",315,"4,509",736,"15,789","1,010","7,766",469,"4,962",27,741,"2,084","51,423","1,630","12,301",347,480,887,"3,987","2,048","17,522",806,"12,233","1,372","4,760","6,399","239,330","2,080","2,905",95,118,719,657,175,98,"1,346","1,702","2,531","5,236","2,112","4,527",199,957,"5,644","41,548","6,494","44,519","1,776","4,662","7,228","19,702"
90012,"$1 under $25,000",4786,1089,3172,8128,2224,60422,3588,45276,921,983,300,579,259,342,964,6689,0,252,-95,104,588,269,2322,548,3816,51,95,0,0,275,6556,61,244,162,95,79,285,252,669,74,887,92,165,1936,11963,585,265,**,**,134,42,21,9,997,1237,2167,4480,1801,3883,**,**,1541,1017,2326,2204,709,456,3757,8431
90012,"$25,000 under $50,000",2201,582,1350,4041,1142,78664,1982,67124,710,652,244,476,219,346,292,3064,0,209,7,56,624,163,3097,270,2246,130,783,**,**,385,6556,264,509,96,116,138,486,379,1227,121,1440,232,473,2114,43997,852,798,**,**,381,328,82,46,329,447,364,756,311,644,0,0,1779,4844,1837,5397,427,722,1759,4271
90012,"$50,000 under $75,000",1104,242,643,1699,335,67559,995,57916,495,597,195,560,169,445,154,1694,0,193,264,57,1058,119,2526,91,790,130,1446,27,741,446,8153,384,1403,53,66,204,720,444,2354,197,2292,315,817,1099,48459,314,446,67,88,124,180,49,31,20,18,0,0,0,0,**,**,1079,7275,1081,7623,270,719,830,2430
90012,"$75,000 under $100,000",590,157,328,928,166,50961,543,44300,334,572,135,562,124,437,93,813,0,127,-17,34,404,67,2217,54,545,63,976,**,**,405,7671,379,2260,36,203,149,594,403,3068,130,2096,281,795,587,38233,150,197,28,30,54,79,**,**,**,**,0,0,0,0,**,**,582,6603,584,6786,137,554,450,1524
90012,"$100,000 under $200,000",518,222,319,913,167,70150,466,56374,338,447,175,981,153,692,104,1694,0,164,1235,44,1187,90,3651,47,369,63,1079,**,**,431,12609,406,4063,**,**,230,1152,429,5456,208,3662,333,1200,515,53399,128,109,**,**,26,28,23,12,0,0,0,0,0,0,87,205,516,10642,518,10919,169,1071,348,1970
90012,"$200,000 or more",149,75,115,265,37,54184,118,33602,130,814,88,801,81,465,38,2969,0,72,3238,20,648,28,1976,**,**,32,583,**,**,142,9878,136,3822,**,**,87,750,141,4748,76,1856,119,1310,148,43279,51,1090,**,**,0,0,**,**,0,0,0,0,0,0,112,752,147,11167,148,11590,64,1140,84,1076
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90013,,"4,200",452,"2,175","5,347",608,"314,831","3,510","169,204","1,265","1,447",614,"1,060",477,613,912,"9,599",0,549,"20,682",81,994,169,"2,046",409,"3,386",69,647,58,"1,029","1,428","38,908","1,124","8,785",260,"6,134",692,"3,101","1,417","18,581",699,"11,547",965,"2,676","3,253","244,294",826,"1,009",46,64,123,104,25,14,192,218,780,786,633,628,183,"5,472","3,073","63,619","3,349","65,655",815,"6,221","3,285","13,770"
90013,"$1 under $25,000",1766,90,860,2215,293,20703,1374,15864,263,175,97,163,80,84,446,2439,0,83,33,29,244,60,280,198,1637,**,**,24,307,112,1944,48,140,47,28,52,200,105,393,61,968,46,76,838,5757,222,92,0,0,36,11,0,0,157,172,740,716,602,584,0,0,708,533,971,1013,288,292,1390,2258
90013,"$25,000 under $50,000",905,87,406,1130,128,32697,823,28776,200,187,75,148,63,69,184,1719,0,63,305,**,**,29,329,97,906,**,**,**,**,223,3852,180,349,34,39,98,412,219,866,100,1397,127,233,892,20442,248,254,**,**,59,56,25,14,35,46,40,70,31,44,0,0,850,2442,862,2771,177,378,721,2050
90013,"$50,000 under $75,000",605,50,305,704,45,37029,576,34055,223,75,92,180,82,131,107,1296,0,70,123,23,238,45,660,49,386,45,313,**,**,289,5842,265,1093,31,95,168,557,289,1780,168,2284,206,398,603,26721,92,116,24,34,**,**,**,**,**,**,0,0,0,0,**,**,599,4261,598,4499,133,353,470,1757
90013,"$75,000 under $100,000",348,49,186,435,36,29940,324,26458,173,117,87,109,70,29,67,888,0,75,14,29,512,**,**,33,241,24,334,**,**,275,5457,261,1637,**,**,126,472,275,2225,127,1972,180,327,348,22312,70,112,22,30,28,37,**,**,0,0,0,0,0,0,**,**,346,4011,346,4194,81,383,266,1217
90013,"$100,000 under $200,000",367,121,230,563,70,49302,329,39861,235,290,122,121,98,78,77,1951,0,110,557,**,**,35,777,32,216,**,**,**,**,322,9488,282,2925,34,227,184,935,322,4211,180,3357,235,523,363,37357,80,136,**,**,**,**,**,**,**,**,0,0,0,0,67,141,361,7696,363,8020,95,830,271,1845
90013,"$200,000 or more",209,55,188,300,36,145160,84,24190,171,603,141,339,84,222,31,1306,0,148,19650,**,**,**,**,**,**,**,**,34,722,207,12325,88,2641,114,5745,64,525,207,9106,63,1569,171,1119,209,131705,114,299,**,**,0,0,**,**,0,0,0,0,0,0,116,5331,209,44676,209,45158,41,3985,167,4643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90014,,"3,654",431,"1,860","4,788",631,"178,283","3,111","145,302",876,"1,957",354,"1,050",313,711,874,"9,996",0,325,"6,253",71,"2,783",112,"1,138",368,"2,991",52,600,0,0,"1,100","31,301",960,"7,586",104,111,489,"2,578","1,095","10,662",475,"11,282",749,"3,268","2,725","118,479",686,968,83,102,142,120,0,0,197,257,773,745,595,528,103,529,"2,524","22,068","2,813","23,822",791,"3,034","2,802","8,144"
90014,"$1 under $25,000",1610,127,814,2074,311,18879,1211,14263,175,333,63,83,54,61,458,3390,0,58,27,26,148,27,165,161,1291,**,**,0,0,93,1436,40,81,41,20,27,114,91,235,29,542,56,120,710,4678,164,80,0,0,36,12,0,0,150,186,737,676,567,478,0,0,607,428,892,987,311,301,1246,2053
90014,"$25,000 under $50,000",832,94,409,1108,147,30233,748,26414,177,155,58,151,52,119,173,2117,0,58,-8,**,**,30,237,96,843,28,170,0,0,205,3824,156,343,36,54,88,295,202,743,88,1492,112,211,810,18664,202,190,**,**,54,44,0,0,47,71,36,69,28,50,0,0,761,2270,774,2633,181,452,647,1680
90014,"$50,000 under $75,000",588,53,255,703,52,36506,563,34054,208,79,84,96,78,81,108,1467,0,80,52,25,408,21,96,53,392,**,**,0,0,291,8356,274,1012,27,37,170,943,291,2043,164,4341,208,464,584,23991,169,261,83,102,23,29,0,0,**,**,0,0,0,0,0,0,537,3625,529,3855,114,431,470,1957
90014,"$75,000 under $100,000",278,47,134,358,33,23688,270,22211,116,57,45,44,39,34,51,766,0,35,124,**,**,34,640,21,156,24,430,0,0,207,4466,198,1162,**,**,72,323,207,1539,72,1803,136,226,278,17346,71,98,**,**,29,35,0,0,**,**,0,0,0,0,**,**,275,3045,274,3166,64,196,214,823
90014,"$100,000 under $200,000",282,84,195,424,57,36234,266,30518,148,746,71,119,60,60,62,1432,0,60,222,20,2227,**,**,37,309,**,**,0,0,244,6800,238,2683,**,**,96,456,244,3284,90,1938,186,440,281,27735,52,47,**,**,**,**,0,0,0,0,0,0,0,0,57,144,281,5744,281,6006,91,741,191,893
90014,"$200,000 or more",64,26,53,121,31,32743,53,17842,52,587,33,557,30,356,22,824,0,34,5836,**,**,**,**,**,**,**,**,0,0,60,6419,54,2305,**,**,36,447,60,2818,32,1166,51,1807,62,26065,28,292,**,**,0,0,0,0,0,0,0,0,0,0,46,385,63,6956,63,7175,30,913,34,738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90015,,"7,369","1,414","5,454","15,108","5,423","337,093","6,234","251,134","1,524","2,394",550,"7,245",471,"6,372","1,453","17,037",0,565,"6,440",121,"1,814",247,"3,827",674,"5,246",97,"1,012",31,648,"1,624","51,518","1,319","13,706",233,216,912,"5,339","1,610","19,977",902,"16,193","1,104","3,398","4,651","205,131","1,865","1,845",30,30,980,780,127,72,"2,110","2,833","2,043","4,757","1,733","3,881",260,"1,476","3,679","42,249","4,586","45,339","1,219","6,711","5,994","19,750"
90015,"$1 under $25,000",4181,550,3209,8595,3271,54514,3245,43771,367,281,89,132,76,48,985,7205,0,101,-144,27,150,84,564,371,2756,**,**,**,**,181,2599,65,117,97,58,79,330,176,555,73,975,91,131,1565,8605,639,246,**,**,291,90,23,9,1632,2071,1677,4082,1422,3331,0,0,1044,674,1890,1869,549,325,3489,8184
90015,"$25,000 under $50,000",1671,396,1222,3875,1570,57847,1558,51824,294,165,76,131,62,86,214,2899,0,75,-28,40,649,65,559,174,1537,42,164,**,**,338,5850,219,432,87,89,160,679,330,1360,165,2118,216,401,1573,27789,801,742,**,**,513,430,55,37,458,737,366,675,311,550,0,0,1149,2746,1204,3264,244,509,1419,4248
90015,"$50,000 under $75,000",549,145,370,1039,287,33348,516,30081,219,113,73,171,63,79,73,1081,0,73,174,26,348,47,792,57,383,24,269,**,**,260,5666,222,890,49,69,167,702,260,1736,164,2368,176,371,545,21673,197,271,30,30,110,180,26,12,20,25,0,0,0,0,**,**,524,3038,527,3256,123,406,424,1397
90015,"$75,000 under $100,000",340,80,211,529,106,29283,320,26394,191,201,80,183,69,117,49,1095,0,74,105,**,**,**,**,31,280,31,579,**,**,261,5740,246,1501,**,**,139,706,260,2321,137,2082,178,508,340,20923,82,106,**,**,43,54,**,**,**,**,0,0,0,0,**,**,335,3629,337,3838,83,416,255,1272
90015,"$100,000 under $200,000",426,146,279,698,116,58411,408,50030,282,405,130,357,116,213,85,2423,0,134,694,28,667,51,1912,41,290,**,**,31,648,384,12369,373,3871,**,**,228,1400,384,5437,230,4778,283,677,426,43093,87,128,**,**,23,26,23,14,0,0,0,0,0,0,101,212,425,8724,426,9144,121,837,304,1989
90015,"$200,000 or more",202,97,163,372,73,103690,187,49034,171,1229,102,6271,85,5829,47,2334,0,108,5639,**,**,**,**,**,**,**,**,**,**,200,19294,194,6895,**,**,139,1522,200,8568,133,3872,160,1310,202,83048,59,352,**,**,0,0,**,**,0,0,0,0,0,0,159,1264,202,23438,202,23968,99,4218,103,2660
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90016,,"21,306","4,553","15,407","44,411","16,454","720,302","17,413","582,964","4,907","3,281","1,274","2,261","1,021","1,385","4,379","39,660",0,897,"1,216",706,"8,677","2,425","52,123","2,283","19,375","1,155","9,931",42,358,"5,560","123,328","3,919","15,806","1,367","1,475","3,980","12,414","5,535","32,371","3,859","52,173","4,348","13,361","14,730","357,516","7,110","7,038",272,250,"3,772","3,561",905,554,"5,614","7,119","6,569","15,715","5,695","12,615",165,613,"11,399","47,494","14,162","54,163","3,177","6,278","17,693","51,996"
90016,"$1 under $25,000",10775,1336,7749,20580,7545,146887,7901,105880,1321,652,276,331,206,148,2873,24272,0,198,-180,211,1276,786,7389,1242,9727,169,284,21,151,828,12981,233,370,473,311,549,1295,811,2214,538,6453,523,935,4581,26891,2055,875,**,**,755,247,119,44,3803,4565,4937,12942,4362,10387,**,**,3015,2023,5399,5700,1270,795,9099,23722
90016,"$25,000 under $50,000",6426,1546,4623,14473,5612,228839,5805,197524,1456,771,299,440,222,206,831,7964,0,231,-130,195,1722,749,13945,666,6356,466,2614,**,**,1878,33836,1196,1938,595,645,1226,3548,1872,6966,1227,14917,1353,3272,6069,107377,3301,3400,71,52,1911,1709,436,291,1638,2338,1632,2773,1333,2228,**,**,4492,9906,4835,11296,873,1388,5532,16593
90016,"$50,000 under $75,000",2308,740,1680,5149,1905,139539,2087,118038,1002,659,287,442,231,265,342,3406,0,194,-132,136,1591,421,11312,204,1738,269,3149,**,**,1340,29543,1080,3279,224,343,976,3053,1338,7434,932,12049,1143,3400,2284,83344,1061,1675,94,87,712,1022,188,117,173,216,0,0,0,0,25,36,2112,10471,2145,11129,507,1213,1797,5848
90016,"$75,000 under $100,000",990,436,734,2276,797,84472,883,68685,561,398,182,304,155,213,144,1569,0,121,281,82,1560,235,8095,93,910,140,2064,21,207,781,19887,704,3383,55,119,603,1951,781,5899,566,8121,668,2493,989,54290,436,739,55,50,287,455,87,58,**,**,0,0,0,0,**,**,973,8000,976,8342,244,710,744,2991
90016,"$100,000 under $200,000",712,433,543,1688,514,91581,656,74746,488,306,188,382,167,296,158,2018,0,116,467,82,2528,200,8907,78,644,111,1820,**,**,640,21205,616,4860,20,57,542,2026,640,7295,520,8837,574,2455,712,63425,236,321,52,61,107,128,75,44,0,0,0,0,0,0,66,129,712,11254,712,11723,237,1377,472,2284
90016,"$200,000 or more",95,62,78,245,81,28984,81,18091,79,495,42,362,40,257,31,431,0,37,910,**,**,34,2475,**,**,**,**,**,**,93,5876,90,1976,**,**,84,541,93,2563,76,1796,87,806,95,22189,21,28,**,**,0,0,**,**,0,0,0,0,0,0,74,448,95,5840,95,5973,46,795,49,558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90017,,"7,881","1,491","5,639","16,260","5,941","365,458","6,633","245,249","1,460","6,712",588,"8,858",528,"7,151","1,606","21,941",0,535,"24,232",106,"2,741",283,"4,561",635,"5,114",142,"1,815",57,"1,930","1,298","54,680","1,078","16,904",164,384,551,"4,855","1,283","22,655",521,"12,311",908,"6,131","4,813","224,648","1,866","2,409",51,82,971,702,103,62,"2,343","3,102","2,179","5,151","1,879","4,248",250,"2,637","3,859","47,237","4,896","51,524","1,343","6,192","6,359","22,045"
90017,"$1 under $25,000",4669,630,3507,9857,3990,60337,3660,49354,382,258,99,162,85,123,1155,8737,0,93,84,26,128,96,543,374,2787,**,**,0,0,124,2254,42,146,60,34,39,238,119,461,41,783,45,83,1726,9684,659,252,0,0,334,99,23,9,1866,2371,1813,4440,1555,3627,0,0,1214,784,2186,2119,620,394,3882,8952
90017,"$25,000 under $50,000",1697,414,1208,3854,1415,58389,1598,53487,285,291,80,135,64,76,215,1994,0,77,189,31,278,59,576,163,1564,51,228,21,251,210,3851,150,329,44,49,66,344,205,818,65,1012,143,283,1589,29464,757,700,**,**,498,412,58,41,477,731,366,711,324,621,0,0,1164,3024,1223,3377,256,405,1434,4229
90017,"$50,000 under $75,000",633,131,346,1023,224,38353,589,34739,230,261,88,217,80,170,89,1697,0,74,147,**,**,39,380,40,370,29,287,**,**,226,4957,185,792,35,64,85,460,222,1383,85,1583,160,324,625,26948,200,275,30,40,84,118,22,12,**,**,0,0,0,0,**,**,612,4032,613,4306,176,522,455,1495
90017,"$75,000 under $100,000",300,59,165,452,86,25885,290,23908,144,261,70,69,66,59,40,603,0,64,151,29,605,22,438,26,168,24,404,**,**,218,4632,207,1322,25,237,79,398,218,1808,79,1404,140,333,298,19025,86,136,21,42,31,47,**,**,**,**,0,0,0,0,**,**,296,3331,299,3473,84,286,216,1073
90017,"$100,000 under $200,000",372,137,234,637,123,50605,342,43118,234,781,116,460,108,308,60,2051,0,104,1037,**,**,36,695,32,225,**,**,**,**,315,9609,293,3396,**,**,133,839,314,4404,120,2698,242,919,368,38297,78,120,**,**,24,26,**,**,**,**,0,0,0,0,74,194,365,7804,366,8164,106,689,263,1400
90017,"$200,000 or more",210,120,179,437,103,131889,154,40643,185,4860,135,7815,125,6415,47,6859,0,123,22624,20,1730,31,1929,**,**,38,896,36,1679,205,29377,201,10919,**,**,149,2576,205,13781,131,4831,178,4189,207,101230,86,926,**,**,0,0,**,**,0,0,0,0,0,0,176,2443,208,28262,209,30085,101,3896,109,4896
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90018,,"20,621","4,130","15,507","43,587","16,691","604,011","16,856","493,430","3,777","2,310",773,"1,052",602,641,"4,457","41,121",0,551,"2,507",382,"4,148","1,711","34,444","2,137","17,172",875,"7,042",26,304,"4,258","89,999","2,878","10,160","1,126","1,140","2,831","8,842","4,225","22,095","2,781","36,837","3,209","10,367","13,202","277,900","6,520","6,359",159,163,"3,698","3,419",770,477,"6,082","7,572","7,611","17,884","6,606","14,250",117,427,"9,940","34,320","13,064","40,866","2,853","4,471","17,360","49,996"
90018,"$1 under $25,000",11786,1480,8855,22902,8488,157216,8733,115004,1180,570,180,227,136,103,3285,28510,0,129,20,115,661,612,5751,1204,8867,116,170,**,**,728,11056,188,152,429,265,474,1290,716,1870,490,5804,392,757,4720,26982,2067,876,**,**,842,290,115,45,4325,5140,5901,15023,5202,11941,0,0,3122,2016,5949,6337,1439,821,9969,26193
90018,"$25,000 under $50,000",5884,1397,4461,13532,5515,207499,5399,182777,1225,771,191,116,140,69,705,6949,0,149,-13,106,1008,537,9508,639,5859,371,1943,26,304,1536,26297,950,1332,500,520,903,2665,1518,5229,896,10627,1126,3002,5559,98297,3088,3219,45,33,1958,1763,393,261,1597,2217,1710,2861,1404,2309,0,0,4061,8959,4331,10167,755,1110,5107,14876
